context,prompt_bn,response_bn,label
[NULL],৩১৫৪ ও ৬০০ এর যোগফল কত?,৩৭৩৮,0
"মাহবুব আহমেদ (১৯৪৮ সালে রংপুর অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত চলচ্চিত্র পরিচালক ছিলেন। তাঁর অন্যতম সৃষ্টি ""শেষ প্রহর""। ১৯৭৯ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ১৯৮৭ সালে তিনি মৃত্যুবরণ করেন।",মাহবুব আহমেদ পেশায় কী ছিলেন?,সাংবাদিক,0
ল্যাবেঙ্গল সফটওয়্যার ২০১২ সালে বাজারে আসে। এটি প্রথম তৈরি করেন মাহবুব চৌধুরী। সফটওয়্যারটি জাভা প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,ল্যাবেঙ্গল সফটওয়্যার কত সালে বাজারে আসে?,মাহবুব চৌধুরী,0
যমুনা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ১৩০ কিলোমিটার। নদীটি রংপুর অঞ্চল থেকে উৎপন্ন হয়ে ঢাকা অঞ্চলে প্রবাহিত হয়েছে।,যমুনা নদী-এর দৈর্ঘ্য কত?,১৩০ কিলোমিটার,1
[NULL],"""বিড়াল তপস্বী"" বাগধারাটির অর্থ কী?",শেষ সম্বল,0
[NULL],১০০০ টাকার ১২% কত টাকা?,১০১ টাকা,0
[NULL],১৩৫৬ ও ২৯২৪ এর যোগফল কত?,৪৩০৭,0
নিকশ সফটওয়্যার ২০১৫ সালে বাজারে আসে। এটি প্রথম তৈরি করেন সুকান্ত ঘোষ। সফটওয়্যারটি সি++ প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,নিকশ সফটওয়্যার কত সালে বাজারে আসে?,২০২৪,0
[NULL],"২৭৫, ২৬ ও ৮০ সংখ্যা তিনটির গড় কত?",১৩৩,0
"প্রমথ রহমান (১৮৭১ সালে ময়মনসিংহ অঞ্চলে জন্মগ্রহণ করেন) একজন প্রখ্যাত অর্থনীতিবিদ ছিলেন। তাঁর অন্যতম সৃষ্টি ""দিগন্তের ডাক""। ১৯৩০ সালে তাঁকে বাংলা একাডেমি পুরস্কারে ভূষিত করা হয়। ১৯৩৭ সালে তিনি মৃত্যুবরণ করেন।",প্রমথ রহমান কত সালে মৃত্যুবরণ করেন?,১৯৩৭,1
নিকশ সফটওয়্যার ২০১৪ সালে বাজারে আসে। এটি প্রথম তৈরি করেন তারেক মজুমদার। সফটওয়্যারটি ভিজুয়াল বেসিক প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,নিকশ সফটওয়্যার কোন প্রোগ্রামিং ভাষায় লেখা হয়েছিল?,২০১৪,0
বর্ণ সফটওয়্যার ২০০৬ সালে বাজারে আসে। এটি প্রথম তৈরি করেন ফরিদা মজুমদার। সফটওয়্যারটি পাইথন প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বর্ণ সফটওয়্যার কত সালে বাজারে আসে?,২০১৩,0
পদ্মা নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৩৮১ কিলোমিটার। নদীটি ময়মনসিংহ অঞ্চল থেকে উৎপন্ন হয়ে পাবনা অঞ্চলে প্রবাহিত হয়েছে।,পদ্মা নদী-এর দৈর্ঘ্য কত?,২৫১ কিলোমিটার,0
[NULL],"২৯২, ২৬৯ ও ৬৩ সংখ্যা তিনটির গড় কত?",২০৩,0
বর্ণ সফটওয়্যার ২০০০ সালে বাজারে আসে। এটি প্রথম তৈরি করেন আব্দুল বন্দ্যোপাধ্যায়। সফটওয়্যারটি সি শার্প প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বর্ণ সফটওয়্যার কোন প্রোগ্রামিং ভাষায় লেখা হয়েছিল?,সি শার্প,1
অভ্র সফটওয়্যার ২০০৫ সালে বাজারে আসে। এটি প্রথম তৈরি করেন দিলীপ দাশগুপ্ত। সফটওয়্যারটি পাইথন প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,অভ্র সফটওয়্যার কোন প্রোগ্রামিং ভাষায় লেখা হয়েছিল?,পাইথন,1
মধুমতি নদী বাংলাদেশের একটি গুরুত্বপূর্ণ নদী। এর দৈর্ঘ্য প্রায় ৪০৪ কিলোমিটার। নদীটি পুরুলিয়া অঞ্চল থেকে উৎপন্ন হয়ে ঢাকা অঞ্চলে প্রবাহিত হয়েছে।,মধুমতি নদী কোন অঞ্চল থেকে উৎপন্ন হয়েছে?,পুরুলিয়া,1
[NULL],৮০৫ ও ৮১১ এর যোগফল কত?,১৫৮৬,0
বিজয় সফটওয়্যার ২০১৭ সালে বাজারে আসে। এটি প্রথম তৈরি করেন আনিসুল তালুকদার। সফটওয়্যারটি ডেলফি প্রোগ্রামিং ভাষায় লেখা হয়েছিল।,বিজয় সফটওয়্যার কোন প্রোগ্রামিং ভাষায় লেখা হয়েছিল?,ভিজুয়াল বেসিক,0
[NULL],৬ ও ১৭ এর গুণফল কত?,১০৬,0
[NULL],একটি দোকানে ৮৭৫টি গাছ ছিল। ২৫৫টি বিক্রি হয়ে গেলে কতটি গাছ অবশিষ্ট থাকে?,৬১২,0
